http://www.bgmea.com.bd/member/details/89,"Aziz Super Garments Ltd.","","Md. Azizul Haque Chowdhury"
http://www.bgmea.com.bd/member/details/90,"World Victory Garments Ltd.",siriusbb.com,"Al-Haj Md. Abu Sayeed"
http://www.bgmea.com.bd/member/details/91,"Youth Garments Ltd.",youthbd.com,"Rezakul Haider"
http://www.bgmea.com.bd/member/details/92,"Fairy Fashion Ltd.","","Lutful Huda"
http://www.bgmea.com.bd/member/details/93,"Giant Garment Inds.(Pvt) Ltd.",dhaka.net,"Faruque Hassan"
http://www.bgmea.com.bd/member/details/94,"Burlingtons Limited",agni.com,"Iqbal Ahmed"
http://www.bgmea.com.bd/member/details/95,"Garb International Ltd.",mtlbd.net,"Ashraf U. Ahmed"
http://www.bgmea.com.bd/member/details/96,"Choudhury Apparels (Pvt) Ltd.",youthbd.com,"Rezakul Haider"
http://www.bgmea.com.bd/member/details/97,"Crest Garments Ltd.",utahgroup.net,"A. Razzak Sattar"
http://www.bgmea.com.bd/member/details/98,"Hollywood Fashions (Pvt) Ltd.",bangla.net,"Dr. Humayun Mian"
http://www.bgmea.com.bd/member/details/99,"International Garments Ltd.",dhaka.net,"Syed Amanul Huda"
http://www.bgmea.com.bd/member/details/100,"Dird Garments Ltd.",dirdgroup.org,Itemad-Ud-Daulah
http://www.bgmea.com.bd/member/details/101,"Mavis Garments Ltd.",citechco.net,"Faruque Hassan"
http://www.bgmea.com.bd/member/details/102,"Moonlight Garments Ltd.",citechco.net,"Engr Nazmul Ahsan Khaled"
http://www.bgmea.com.bd/member/details/103,"Southern Garments Ltd.",southern-bd.net,"Md. Shariar Alam"
http://www.bgmea.com.bd/member/details/104,"Ishita Garments",bol.online.com,"Pervez Alam Khan (Swapan)"
http://www.bgmea.com.bd/member/details/105,"Sportex & Apparels (Pvt.) Ltd.","","Saifuddin Ahmed"
http://www.bgmea.com.bd/member/details/106,"Suravee Garments Ltd.",babylon-bd.com,"S.M. Emdadul Islam"
http://www.bgmea.com.bd/member/details/107,"Lovecraft Garments (Pvt.) Ltd.",1crdhaka.com,"Tawfiq Quadir"
http://www.bgmea.com.bd/member/details/108,"N.N. Garments Ltd.",dekko.net.bd,"Enayet Ullah Khan"
http://www.bgmea.com.bd/member/details/109,"Ornob Garments Ltd.","","Abdul Mazed Sarker"
http://www.bgmea.com.bd/member/details/110,"Prince Garments (Pvt). Ltd.",bangla.net,"Mohammad Taslim Akhter"
http://www.bgmea.com.bd/member/details/111,"Pinaki Garments Ltd.",pinakigroup.com,"Md. Manirul Islam"
http://www.bgmea.com.bd/member/details/112,"Wave Fashion Garments Ltd.","","Lutfor Rahman"
http://www.bgmea.com.bd/member/details/113,"The Yolk Garments Ltd.",bttb.net.bd,"S.M. Sultanul Alam"
http://www.bgmea.com.bd/member/details/114,"Zafar Enterprises (Pvt) Ltd.",yahoo.com,"Abu Zafar Mohd. Hossain Chowdhury"
http://www.bgmea.com.bd/member/details/115,"Shaarat Fashion Wear Ltd.",dekko.net.bd,"R.A. Khan"
http://www.bgmea.com.bd/member/details/116,"Mohammadi Apparels Ltd.",dhaka.net,"Al Haj Seraj-Ud-Dowla"
http://www.bgmea.com.bd/member/details/117,"Sapphire Garments Ltd.","","Azizur Rahman"
http://www.bgmea.com.bd/member/details/118,"B.F.B. Garments (Pvt.) Ltd.","","Abu Khalid Khan"
http://www.bgmea.com.bd/member/details/119,"NAZ Apparel Exports Ltd.",dhaka.net,"Engr. Md. Serajul Huq"
