V2,norm,typ
Noble Design & Dress Ind. Ltd.,NOBLE DESIGN & DRESS IND,BGMEA
Sikder Apparel Hosiery Ltd.,SIKDER APPAREL HOSIERY,BGMEA
HRB Apparels Ltd.,HRB APPARELS,BGMEA
Leader Knit Wear Ltd.,LEADER KNIT WEAR,BGMEA
Trade Fashions Industries Ltd.,TRADE FASHIONS INDUSTRIES,BGMEA
Cotton Line (BD) Ltd.,COTTON LINE BD,BGMEA
Flash Apparels Ltd.,FLASH APPARELS,BGMEA
Shanta Apparel Ltd.,SHANTA APPAREL,BGMEA
J.B.S. Garments (Pvt.) Ltd.,JBS GARMENTS PVT,BGMEA
Turbo Knit Wear Ltd.,TURBO KNIT WEAR,BGMEA
B. Ghani And Associates Ltd.,B GHANI AND ASSOCIATES,BGMEA
Minimax Ltd.,MINIMAX,BGMEA
Como Apparels Ltd.,COMO APPARELS,BGMEA
Pastel Apparels Ltd.,PASTEL APPARELS,BGMEA
T.H. Fashions,TH FASHIONS,BGMEA
Naba Apparels Ltd.,NABA APPARELS,BGMEA
M.A. Gaffar Ltd.,MA GAFFAR,BGMEA
Moni Sweater Ltd.,MONI SWEATER,BGMEA
Fame Knitwears Ltd.,FAME KNITWEARS,BGMEA
Wintex Garments Ltd.,WINTEX GARMENTS,BGMEA
H.R. Fashion,HR FASHION,BGMEA
Shatil Garments (Pvt.) Ltd.,SHATIL GARMENTS PVT,BGMEA
Zia Apparels King Ltd.,ZIA APPARELS KING,BGMEA
Elegance Orientale Ltd.,ELEGANCE ORIENTAL,BGMEA
Well Tex,WELL TEX,BGMEA
Uttara Garments Ltd.,UTTARA GARMENTS,BGMEA
Rhine Fashions (Pvt.) Ltd.,RHINE FASHIONS PVT,BGMEA
Kimberley Apparels Ltd.,KIMBERLEY APPARELS,BGMEA
Midway Apparels Ltd.,MIDWAY APPARELS,BGMEA
Brooks (BD) Garments Co. Ltd.,BROOKS BD GARMENTS CO,BGMEA
Arcadia Apparels Ltd.,ARCADIA APPARELS,BGMEA
Feroza Garments Ltd.,FEROZA GARMENTS,BGMEA
Mouli Garments (Pvt.) Ltd.,MOULI GARMENTS PVT,BGMEA
Hamdil Fashion Wears Ltd.,HAMDIL FASHION WEARS,BGMEA
Saad Sewing Ltd.,SAAD SEWING,BGMEA
Agami Apparels Ltd.,AGAMI APPARELS,BGMEA
Everest Apparels Ltd.,EVEREST APPARELS,BGMEA
Festive (Pvt.) Ltd.,FESTIVE PVT,BGMEA
Ital Adweg (Pvt.) Ltd.,ITAL ADWEG PVT,BGMEA
Lucid Apparels Ltd.,LUCID APPARELS,BGMEA
Jaroms Industries Ltd.,JAROMS INDUSTRIES,BGMEA
SIS Garments Ltd.,SIS GARMENTS,BGMEA
F.A.R. Apparel Ltd.,FAR APPAREL,BGMEA
Sydney Fashions Ltd.,SYDNEY FASHIONS,BGMEA
Bengal Apparels,BENGAL APPARELS,BGMEA
Creative Sweaters (Pvt.) Ltd.,CREATIVE SWEATERS PVT,BGMEA
Amico Apparels Ltd.,AMICO APPARELS,BGMEA
Focus Fashions Ltd.,FOCUS FASHIONS,BGMEA
R.B.R. Fashion,RBR FASHION,BGMEA
M N Sweaters Ltd.,M N SWEATERS,BGMEA
Nasrin Garments Ltd.,NASRIN GARMENTS,BGMEA
Shamrock Knitwear Ltd.,SHAMROCK KNITWEAR,BGMEA
Greenland Garments Ltd.,GREENLAND GARMENTS,BGMEA
Mid Asia Fashions Ltd.,MID ASIA FASHIONS,BGMEA
Ruskin Apparels Ltd.,RUSKIN APPARELS,BGMEA
Sandwip Fashions Ltd.,SANDWIP FASHIONS,BGMEA
Prottasha Dyeing & Printing Ind.(Pvt)Ltd,PROTTASHA DYEING & PRINTING INDPVT,BGMEA
Mohammadi Knitwears Ltd.,MOHAMMADI KNITWEARS,BGMEA
Expo Dress Ltd.,EXPO DRESS,BGMEA
Ornate Garments Ltd.,ORNATE GARMENTS,BGMEA
S.R.S. Fashions (Pvt.) Ltd.,SRS FASHIONS PVT,BGMEA
Abedin Fashion Wear Ltd.,ABEDIN FASHION WEAR,BGMEA
Shathi Fashion Apparels,SHATHI FASHION APPARELS,BGMEA
Shezads Ltd.,SHEZADS,BGMEA
Pashmina Sweater Ltd.,PASHMINA SWEATER,BGMEA
New Brothers Knitwear Ltd.,NEW BROTHERS KNITWEAR,BGMEA
Seo Wan Bangladesh Ltd.,SEO WAN BANGLADESH,BGMEA
Lyric Garments Ltd.,LYRIC GARMENTS,BGMEA
Noor Apparels,NOOR APPARELS,BGMEA
Fancy Fashion Wear Ltd.,FANCY FASHION WEAR,BGMEA
B. Brothers Garments Co. Ltd.,B BROTHERS GARMENTS CO,BGMEA
Chaity Apparels Ltd.,CHAITY APPARELS,BGMEA
Texas Fashions,TEXAS FASHIONS,BGMEA
Dada (Savar) Ltd.,DADA SAVAR,BGMEA
Khaleque Knitting & Gmt. Ind.(Pvt) Ltd.,KHALEQUE KNITTING & GMT INDPVT,BGMEA
Expo World Wide Ltd.,EXPO WORLD WIDE,BGMEA
Sisters Apparel Ltd.,SISTERS APPAREL,BGMEA
Fine Crafts Ltd.,FINE CRAFTS,BGMEA
Salman Adnan (Pvt.) Ltd.,SALMAN ADNAN PVT,BGMEA
Attune Garments Ltd.,ATTUNE GARMENTS,BGMEA
Palmal Garments Hosiery Ltd.,PALMAL GARMENTS HOSIERY,BGMEA
Comfort Apparels (Pvt.) Ltd.,COMFORT APPARELS PVT,BGMEA
Array Wears Ltd.,ARRAY WEARS,BGMEA
Otobi Apparels (Pvt.) Ltd.,OTOBI APPARELS PVT,BGMEA
Surma Apparels Ltd.,SURMA APPARELS,BGMEA
Sob Apparels Ltd.,SOB APPARELS,BGMEA
Doreen Apparels Ltd.,DOREEN APPARELS,BGMEA
Sweater Fashions Ltd.,SWEATER FASHIONS,BGMEA
Impress Fashion Ltd.,IMPRESS FASHION,BGMEA
Sunshine Apparels Ltd.,SUNSHINE APPARELS,BGMEA
The Overseas Apparels & Embroidery Ltd.,THE OVERSEAS APPARELS & EMBROIDERY,BGMEA
East West Dress Pant Ltd.,EAST WEST DRESS PANT,BGMEA
L.A. Fashion (Pvt.) Ltd.,LA FASHION PVT,BGMEA
Welform Apparels Ltd.,WELFORM APPARELS,BGMEA
Lethe Apparels Ltd.,LETHE APPARELS,BGMEA
Luna Apparels (Pvt.) Ltd.,LUNA APPARELS PVT,BGMEA
Around Star Sweaters Ltd.,AROUND STAR SWEATERS,BGMEA
Elaine Apparels Ltd.,ELAINE APPARELS,BGMEA
Fashion Trust (Pvt.) Ltd.,FASHION TRUST PVT,BGMEA
Satorian Fashions (Pvt.) Ltd.,SATORIAN FASHIONS PVT,BGMEA
Stylo Knitwear (Pvt.) Ltd.,STYLO KNITWEAR PVT,BGMEA
Parsa Tex Ltd.,PARSA TEX,BGMEA
Good Day Apparels Ltd.,GOOD DAY APPARELS,BGMEA
Taurus Knitwears (Pvt.) Ltd.,TAURUS KNITWEARS PVT,BGMEA
Multifabs Ltd.,MULTIFABS,BGMEA
Softex Cotton (Pvt.) Ltd. (U-1),SOFTEX COTTON PVT LTD U1,BGMEA
Eden Apparels Ltd.,EDEN APPARELS,BGMEA
Tristar Fashions,TRISTAR FASHIONS,BGMEA
Fashion Apparels Ltd.,FASHION APPARELS,BGMEA
Multistyle Costume Ltd.,MULTISTYLE COSTUME,BGMEA
Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.),ALAUDDIN & SONS PVT LTD GRDV,BGMEA
Utah Apparels Ltd.,UTAH APPARELS,BGMEA
Utah Knitwear Ltd.,UTAH KNITWEAR,BGMEA
Beryl Apparels (Pvt.) Ltd.,BERYL APPARELS PVT,BGMEA
She And He Apparels Ltd.,SHE AND HE APPARELS,BGMEA
Seha Apparels Int'l Ltd.,SEHA APPARELS INTL,BGMEA
Pioneer Casual Wear Ltd.,PIONEER CASUAL WEAR,BGMEA
Kaniz Garments Ltd.,KANIZ GARMENTS,BGMEA
Patrician Knit Wears Ltd.,PATRICIAN KNIT WEARS,BGMEA
KCA Garments Industry Ltd.,KCA GARMENTS INDUSTRY,BGMEA
Phantom Apparels Ltd.,PHANTOM APPARELS,BGMEA
Bangladesh Dyeing & Finishing Inds. Ltd.,BANGLADESH DYEING & FINISHING INDS,BGMEA
Meditex Industries Ltd.,MEDITEX INDUSTRIES,BGMEA
N.R. Knitting Mills Ltd.,NR KNITTING MILLS,BGMEA
Alif Textiles Ltd.,ALIF TEXTILES,BGMEA
Knittex Industries Ltd.,KNITTEX INDUSTRIES,BGMEA
Maritime Bags Ltd.,MARITIME BAGS,BGMEA
R.A. Dyeing & Printing Inds.(Pvt) Ltd.,RA DYEING & PRINTING INDSPVT,BGMEA
Standard Stitches Ltd. (Gmts. Unit),STANDARD STITCHES LTD GMTS UNIT,BGMEA
Kazipur Fashions Ltd.,KAZIPUR FASHIONS,BGMEA
Imperial Knitting Industries Ltd. (U-2),IMPERIAL KNITTING INDUSTRIES LTD U2,BGMEA
Tulagaon Fashions Ltd.,TULAGAON FASHIONS,BGMEA
Woodland Apparels Ltd.,WOODLAND APPARELS,BGMEA
Mollah Apparels Ltd.,MOLLAH APPARELS,BGMEA
Garib & Garib Co. Ltd.,GARIB & GARIB CO,BGMEA
Parsa Knitting Industries Ltd.,PARSA KNITTING INDUSTRIES,BGMEA
Jams Sweaters (Pvt.) Ltd.,JAMS SWEATERS PVT,BGMEA
Road Apparels Ltd.,ROAD APPARELS,BGMEA
Great Garments Ltd.,GREAT GARMENTS,BGMEA
Lakhsma Fashion Ltd.,LAKHSMA FASHION,BGMEA
Fairlon Garments Ltd.,FAIRLON GARMENTS,BGMEA
Far East Knitting & Dyeing Ind. Ltd.,FAR EAST KNITTING & DYEING IND,BGMEA
Fashion Toys Ltd.,FASHION TOYS,BGMEA
Meer Ala Ltd.,MEER ALA,BGMEA
Sant Martin Fashions (Pvt) Ltd.,SANT MARTIN FASHIONS PVT,BGMEA
Rabbani Garments Ltd.,RABBANI GARMENTS,BGMEA
Sandiana Sweaters Ltd.,SANDIANA SWEATERS,BGMEA
Sun-Seeds Apparel Ltd.,SUNSEEDS APPAREL,BGMEA
Odessa Fashions Ltd.,ODESSA FASHIONS,BGMEA
Four Brothers Fashion,FOUR BROTHERS FASHION,BGMEA
Majestic Apparels Industry Ltd.,MAJESTIC APPARELS INDUSTRY,BGMEA
Azmat Fashions Ltd.,AZMAT FASHIONS,BGMEA
Naser Garments Ltd.,NASER GARMENTS,BGMEA
Patrick Fashions Ltd.,PATRICK FASHIONS,BGMEA
IVY Apparels Ltd.,IVY APPARELS,BGMEA
Unique Sweater Inds. Ltd.,UNIQUE SWEATER INDS,BGMEA
Bonny Knit Fashion Ltd.,BONNY KNIT FASHION,BGMEA
Farhan Style Ltd.,FARHAN STYLE,BGMEA
Roshawa Knitwears Ltd. (Unit-2),ROSHAWA KNITWEARS LTD UNIT2,BGMEA
Banani Hosiery Mills,BANANI HOSIERY MILLS,BGMEA
B.H.S. Fashions Ltd.,BHS FASHIONS,BGMEA
Young Fashion (Pvt) Ltd.,YOUNG FASHION PVT,BGMEA
Stitchwell Designs Ltd.,STITCHWELL DESIGNS,BGMEA
M.S.H. Garments,MSH GARMENTS,BGMEA
The Immaculate Exports Ltd.,THE IMMACULATE EXPORTS,BGMEA
Lodestar Fashions Ltd.,LODESTAR FASHIONS,BGMEA
Rolly Apparels Ltd.,ROLLY APPARELS,BGMEA
Ayman Textile & Hosiery Ltd.,AYMAN TEXTILE & HOSIERY,BGMEA
Orbital Sweaters Ltd.,ORBITAL SWEATERS,BGMEA
Cotton Dyeing & Finishing Mills Ltd.,COTTON DYEING & FINISHING MILLS,BGMEA
Purple Apparels Ltd.,PURPLE APPARELS,BGMEA
N.K.K. Knitwear Ltd.,NKK KNITWEAR,BGMEA
Marke Knit-Wear Ltd.,MARKE KNITWEAR,BGMEA
Maitri Knittings Ltd.,MAITRI KNITTINGS,BGMEA
Trasco Apparels Ltd.,TRASCO APPARELS,BGMEA
Ratul Garments,RATUL GARMENTS,BGMEA
Masud Apparels Ltd.,MASUD APPARELS,BGMEA
Victory Knittings (Pvt) Ltd.,VICTORY KNITTINGS PVT,BGMEA
Angora Sweaters Ltd.,ANGORA SWEATERS,BGMEA
Paddock's Jeans Ltd.,PADDOCKS JEANS,BGMEA
Philadelphia Apparels Ltd.,PHILADELPHIA APPARELS,BGMEA
Unison Knitwear Ltd.,UNISON KNITWEAR,BGMEA
CA Knitwear Ltd.,CA KNITWEAR,BGMEA
Knit Garden (Pvt) Ltd.,KNIT GARDEN PVT,BGMEA
Attires Manufacturing Company Ltd.,ATTIRES MANUFACTURING COMPANY,BGMEA
Saba Knit Apparels Ltd.,SABA KNIT APPARELS,BGMEA
Paltan Export House Ltd.,PALTAN EXPORT HOUSE,BGMEA
Six-H Garments Ltd.,SIXH GARMENTS,BGMEA
Hanaro Fashions Ltd.,HANARO FASHIONS,BGMEA
Hisna Knitting Complex (Pvt) Ltd.,HISNA KNITTING COMPLEX PVT,BGMEA
Le Nouveautex (Pvt) Ltd.,LE NOUVEAUTEX PVT,BGMEA
Florence Fabrics Ltd.,FLORENCE FABRICS,BGMEA
Bichitra Garments Ltd.,BICHITRA GARMENTS,BGMEA
Munni Garments,MUNNI GARMENTS,BGMEA
Pandemic Fashions Ltd.,PANDEMIC FASHIONS,BGMEA
Newtex Apparel Wear Ltd.,NEWTEX APPAREL WEAR,BGMEA
Amber Apparels & Textiles Ltd.,AMBER APPARELS & TEXTILES,BGMEA
CD Acrylic Bangladesh Ltd.,CD ACRYLIC BANGLADESH,BGMEA
Nipun (Pte) Ltd.,NIPUN PTE,BGMEA
Sikam Outwear Ltd.,SIKAM OUTWEAR,BGMEA
Savar Textiles Ltd.,SAVAR TEXTILES,BGMEA
Supasox Ltd.,SUPASOX,BGMEA
Fuji Knit & Fashion Wear Ltd.,FUJI KNIT & FASHION WEAR,BGMEA
A.R. Apparels Ltd.,AR APPARELS,BGMEA
Verbena Knitwear Ltd.,VERBENA KNITWEAR,BGMEA
Hisam Apparels Ltd.,HISAM APPARELS,BGMEA
Green Lotus (Pvt) Ltd.,GREEN LOTUS PVT,BGMEA
South East Fabrics Ltd.,SOUTH EAST FABRICS,BGMEA
Fair Child Sports Wear Ltd.,FAIR CHILD SPORTS WEAR,BGMEA
Birds Fadrex Ltd.,BIRDS FADREX,BGMEA
Adorn Garments Ltd.,ADORN GARMENTS,BGMEA
Kanak Hosiery,KANAK HOSIERY,BGMEA
Newage Apparels Ltd.,NEWAGE APPARELS,BGMEA
Tex-Style Garments Ltd.,TEXSTYLE GARMENTS,BGMEA
JNG Fashion Fabrics Ltd.,JNG FASHION FABRICS,BGMEA
Multiple Fashions Ltd.,MULTIPLE FASHIONS,BGMEA
Bismillah Apparels Ltd.,BISMILLAH APPARELS,BGMEA
Wega Fashion Sweater (Pvt.) Ltd.,WEGA FASHION SWEATER PVT,BGMEA
Roland International Ltd.,ROLAND INTERNATIONAL,BGMEA
B.R. Knitting Mills,BR KNITTING MILLS,BGMEA
KRC Top Shirts  Ltd.,KRC TOP SHIRTS,BGMEA
AJI Apparels Industry Ltd.,AJI APPARELS INDUSTRY,BGMEA
Navy Hosiery,NAVY HOSIERY,BGMEA
Lenny Fashions Ltd.,LENNY FASHIONS,BGMEA
Astex Garments Limited,ASTEX GARMENTS,BGMEA
A & H Enterprises Ltd.,A & H ENTERPRISES,BGMEA
Lusaka Fashion Ltd.,LUSAKA FASHION,BGMEA
Wintex Fashion Wear Ltd.,WINTEX FASHION WEAR,BGMEA
Rahan Garments (Pvt) Ltd.,RAHAN GARMENTS PVT,BGMEA
Capital Designs Limited,CAPITAL DESIGNS,BGMEA
Outright Fashion Ltd.,OUTRIGHT FASHION,BGMEA
Friends World Knit Wears Ltd.,FRIENDS WORLD KNIT WEARS,BGMEA
H.M. Style Ltd.,HM STYLE,BGMEA
Dynasty Knit Fashions Ltd.,DYNASTY KNIT FASHIONS,BGMEA
Islam Products Ltd.,ISLAM PRODUCTS,BGMEA
Baridhi Garments Ltd.,BARIDHI GARMENTS,BGMEA
M.M. Trade Apparels,MM TRADE APPARELS,BGMEA
Fatullah Dyeing & Calendering Mills Ltd.,FATULLAH DYEING & CALENDERING MILLS,BGMEA
Actor Sporting Limited,ACTOR SPORTING,BGMEA
Mansheen Co. (BD) Limited.,MANSHEEN CO BD,BGMEA
Bela Fashions Ltd.,BELA FASHIONS,BGMEA
Panache Knitted Creations Ltd.,PANACHE KNITTED CREATIONS,BGMEA
Opex Fashions Limited,OPEX FASHIONS,BGMEA
Posh Sweater Limited,POSH SWEATER,BGMEA
Claxton Apparels and Textiles Ltd.,CLAXTON APPARELS AND TEXTILES,BGMEA
Radix Limited,RADIX,BGMEA
The Shanin Ltd.,THE SHANIN,BGMEA
Toyo Composite Knit Garments Ltd.,TOYO COMPOSITE KNIT GARMENTS,BGMEA
Conexpo (Garments & Sweater Division) Ltd.,CONEXPO GARMENTS & SWEATER DIVISION,BGMEA
Farnoor Garments Ltd.,FARNOOR GARMENTS,BGMEA
Dhan Sheree Knitting Ltd.,DHAN SHEREE KNITTING,BGMEA
Pierre Leon Ltd.,PIERRE LEON,BGMEA
Crystal Wears Ltd.,CRYSTAL WEARS,BGMEA
Sgwicus (BD) Limited,SGWICUS BD,BGMEA
Murad Apparels Ltd.,MURAD APPARELS,BGMEA
Nice Apparels Inds. Ltd.,NICE APPARELS INDS,BGMEA
Seha International Bangladesh Ltd.,SEHA INTERNATIONAL BANGLADESH,BGMEA
A.G. Dresses Limited.,AG DRESSES,BGMEA
Kessler Fashion Industries Ltd.,KESSLER FASHION INDUSTRIES,BGMEA
Apparel Mart Ltd.,APPAREL MART,BGMEA
Youngones (BD) Ltd. Unit-2,YOUNGONES BD LTD UNIT2,BGMEA
Oli Knitting Fabrics Ltd.,OLI KNITTING FABRICS,BGMEA
Z & M Apparels Ltd.,Z & M APPARELS,BGMEA
Experience Clothing Co. Ltd.,EXPERIENCE CLOTHING CO,BGMEA
Armana Fashions Limited,ARMANA FASHIONS,BGMEA
Shah Keramat Garments Ltd.,SHAH KERAMAT GARMENTS,BGMEA
Dynamic Fashions Ltd.,DYNAMIC FASHIONS,BGMEA
Proshiu Bastra Limited,PROSHIU BASTRA,BGMEA
Youth Fashion Limited,YOUTH FASHION,BGMEA
Taj Knitting Inds. Ltd.,TAJ KNITTING INDS,BGMEA
Rupa Fashions (Pvt.) Ltd.,RUPA FASHIONS PVT,BGMEA
Noble Industries (BD) Ltd.,NOBLE INDUSTRIES BD,BGMEA
Hamid Fashion Limited,HAMID FASHION,BGMEA
Iqbal Texware Limited,IQBAL TEXWARE,BGMEA
Shovon Silk & Knitting Mills (Pvt) Ltd.,SHOVON SILK & KNITTING MILLS PVT,BGMEA
Nazia Fashion Limited,NAZIA FASHION,BGMEA
Cad Tex Garments Limited,CAD TEX GARMENTS,BGMEA
Wright Garments (Pvt) Ltd.,WRIGHT GARMENTS PVT,BGMEA
Alif Outwears Limited,ALIF OUTWEARS,BGMEA
Meghdut Industries Ltd.,MEGHDUT INDUSTRIES,BGMEA
Dress Design (Pvt) Limited,DRESS DESIGN PVT,BGMEA
Daniel Knitwear Limited,DANIEL KNITWEAR,BGMEA
Van Happen Fashion Manufacturing Ltd.,VAN HAPPEN FASHION MANUFACTURING,BGMEA
Tex-Knit Garments Ltd.,TEXKNIT GARMENTS,BGMEA
Razzak Textile Mills Limited,RAZZAK TEXTILE MILLS,BGMEA
Prominent Apparels,PROMINENT APPARELS,BGMEA
Flamingo Apparels Ltd.,FLAMINGO APPARELS,BGMEA
J.K. Fabrics Ltd. Unit-2,JK FABRICS LTD UNIT2,BGMEA
Sikder Creation Ltd.,SIKDER CREATION,BGMEA
The Faiyaz Ltd.,THE FAIYAZ,BGMEA
United Knit Wears (Pvt) Ltd.,UNITED KNIT WEARS PVT,BGMEA
Cotton Textile And Apparels Ltd.,COTTON TEXTILE AND APPARELS,BGMEA
Babylon Dresses Ltd.,BABYLON DRESSES,BGMEA
Padma Satel Arab Fashions Ltd.,PADMA SATEL ARAB FASHIONS,BGMEA
Luman Dresses Limited,LUMAN DRESSES,BGMEA
Radial International Ltd.,RADIAL INTERNATIONAL,BGMEA
KRC Composite Textile Industry Ltd.,KRC COMPOSITE TEXTILE INDUSTRY,BGMEA
SMA Bags Limited,SMA BAGS,BGMEA
Hornbill Apparel Ltd.,HORNBILL APPAREL,BGMEA
Mark Designers Ltd.,MARK DESIGNERS,BGMEA
Eraksasa Apparels Limited,ERAKSASA APPARELS,BGMEA
Knit Concern Ltd.,KNIT CONCERN,BGMEA
House of Sunshine Knitwear Limited,HOUSE OF SUNSHINE KNITWEAR,BGMEA
Al-Islam Fashion Wears Ltd.,ALISLAM FASHION WEARS,BGMEA
Tivoli Apparels Ltd.,TIVOLI APPARELS,BGMEA
Robintex (Bangladesh) Limited,ROBINTEX BANGLADESH,BGMEA
Beautiful Jackets Ltd.,BEAUTIFUL JACKETS,BGMEA
Tokio Mode Limited,TOKIO MODE,BGMEA
Esquire Knitwear Limited,ESQUIRE KNITWEAR,BGMEA
Kumudini Apparels,KUMUDINI APPARELS,BGMEA
Sany Industry & Business Ltd.,SANY INDUSTRY & BUSINESS,BGMEA
Zawad Fashions Ltd.,ZAWAD FASHIONS,BGMEA
Fashion Skirt & Trousers Ltd.,FASHION SKIRT & TROUSERS,BGMEA
Design Textile (BD) Limited,DESIGN TEXTILE BD,BGMEA
Padma Polycotton Knit Fabrics Ltd.,PADMA POLYCOTTON KNIT FABRICS,BGMEA
Arch Limited,ARCH,BGMEA
M & M Shirts Ltd.,M & M SHIRTS,BGMEA
Essential Knitting,ESSENTIAL KNITTING,BGMEA
Agami Fashions Limited,AGAMI FASHIONS,BGMEA
S.R. Apparels Ltd.,SR APPARELS,BGMEA
Maurisus Intercontinental Ltd.,MAURISUS INTERCONTINENTAL,BGMEA
Parkscene Bangladesh Ltd.,PARKSCENE BANGLADESH,BGMEA
Bangladesh Dresses Ltd.(Unit-2),BANGLADESH DRESSES LTDUNIT2,BGMEA
Chun Ji Knit Ltd.,CHUN JI KNIT,BGMEA
S.K. Fashions Ltd.,SK FASHIONS,BGMEA
Moon Readywears Ltd.,MOON READYWEARS,BGMEA
Gumti Textiles Ltd.,GUMTI TEXTILES,BGMEA
Well Sweaters,WELL SWEATERS,BGMEA
Life Textile (Pvt.) Ltd.,LIFE TEXTILE PVT,BGMEA
Palmal Styles Limited,PALMAL STYLES,BGMEA
Absolute Quality Wear Limited,ABSOLUTE QUALITY WEAR,BGMEA
Birds Garments Ltd. Unit-2,BIRDS GARMENTS LTD UNIT2,BGMEA
Arrow Sports Wear Ltd.,ARROW SPORTS WEAR,BGMEA
Delta Ties Limited,DELTA TIES,BGMEA
Rezaul & Brothers (Pvt.) Ltd.,REZAUL & BROTHERS PVT,BGMEA
Tosy Knit Fabrics Ltd.,TOSY KNIT FABRICS,BGMEA
The Yolk Designs Ltd.,THE YOLK DESIGNS,BGMEA
Tung Hai Sweaters Ltd.,TUNG HAI SWEATERS,BGMEA
Athletic Support Ltd.,ATHLETIC SUPPORT,BGMEA
Diplomat Fashion Wear (Pvt.) Ltd.,DIPLOMAT FASHION WEAR PVT,BGMEA
M.B. Knit Fashion,MB KNIT FASHION,BGMEA
Sweaters Boutique Limited,SWEATERS BOUTIQUE,BGMEA
Peoples Fashion Limited,PEOPLES FASHION,BGMEA
Creative Apparels Ltd.,CREATIVE APPARELS,BGMEA
United Fashion Trousers Ltd.,UNITED FASHION TROUSERS,BGMEA
Paradise Dresses Ltd.,PARADISE DRESSES,BGMEA
MA Fashions Ltd.,MA FASHIONS,BGMEA
Rupashi Fashions Ltd.,RUPASHI FASHIONS,BGMEA
Seacotex Fabrics Ltd.,SEACOTEX FABRICS,BGMEA
Pritam Fashion Wear (Pvt.) Ltd.,PRITAM FASHION WEAR PVT,BGMEA
Liz Fashion Industry Ltd.,LIZ FASHION INDUSTRY,BGMEA
RGR Sweater Ltd.,RGR SWEATER,BGMEA
R.R. Sweaters Ltd.,RR SWEATERS,BGMEA
Sinha Wool Wears Ltd.,SINHA WOOL WEARS,BGMEA
Capital Sweater Limited,CAPITAL SWEATER,BGMEA
Allure Apparel Ltd.,ALLURE APPAREL,BGMEA
The Sweater (Factory) Co. Ltd.,THE SWEATER FACTORY CO,BGMEA
Shahriyar Fabric Inds. Ltd.,SHAHRIYAR FABRIC INDS,BGMEA
Shafi Processing Inds. Ltd.,SHAFI PROCESSING INDS,BGMEA
K. Ali Sweater Industries Ltd.,K ALI SWEATER INDUSTRIES,BGMEA
Haesong Korea Ltd.,HAESONG KOREA,BGMEA
Divine Textile Ltd.,DIVINE TEXTILE,BGMEA
Rahimaaziz Knitspin Limited,RAHIMAAZIZ KNITSPIN,BGMEA
Seibu Fashions Ltd.,SEIBU FASHIONS,BGMEA
News Style Garments Ltd.,NEWS STYLE GARMENTS,BGMEA
Qayium Garments,QAYIUM GARMENTS,BGMEA
Feather Tex Limited,FEATHER TEX,BGMEA
Ameen Fabrics Ltd.,AMEEN FABRICS,BGMEA
Sinha Fabrics Ltd.,SINHA FABRICS,BGMEA
York Fashion Ltd.,YORK FASHION,BGMEA
Han A Hat & Caps Ltd.,HAN A HAT & CAPS,BGMEA
Fashion of Next Generation Ltd.,FASHION OF NEXT GENERATION,BGMEA
Todays Fashion Ltd.,TODAYS FASHION,BGMEA
Doel Apparels Limited,DOEL APPARELS,BGMEA
The Fashion Island Ltd.,THE FASHION ISLAND,BGMEA
Palmal Knitwear Factory Ltd. (Unit-2),PALMAL KNITWEAR FACTORY LTD UNIT2,BGMEA
Zaf Sweater  And Garments Ltd.,ZAF SWEATER  AND GARMENTS,BGMEA
Kimia Garments Ind. Ltd.,KIMIA GARMENTS IND,BGMEA
Rising Fashions Ltd.,RISING FASHIONS,BGMEA
Mohammadi Designers Ltd.,MOHAMMADI DESIGNERS,BGMEA
Floret Fashion Wears (Pvt) Ltd.,FLORET FASHION WEARS PVT,BGMEA
Lyric Fashion Wear Ltd.,LYRIC FASHION WEAR,BGMEA
Rumana Fashion Ltd.,RUMANA FASHION,BGMEA
Mondol Textile Ltd.,MONDOL TEXTILE,BGMEA
Elate Fashion Ltd.,ELATE FASHION,BGMEA
Defoin Design (Pvt) Ltd.,DEFOIN DESIGN PVT,BGMEA
The Immaculate Apparels Ltd.,THE IMMACULATE APPARELS,BGMEA
Fashions Suits And Trousers Ltd.,FASHIONS SUITS AND TROUSERS,BGMEA
Al-Muslim Fashions Wear Ltd.,ALMUSLIM FASHIONS WEAR,BGMEA
Rose Fashion Ltd.,ROSE FASHION,BGMEA
Opex Designers Ltd.,OPEX DESIGNERS,BGMEA
Tausif Apparels,TAUSIF APPARELS,BGMEA
Paradise Hi-Design Ltd.,PARADISE HIDESIGN,BGMEA
Evergreen Sweaters ltd.,EVERGREEN SWEATERS,BGMEA
Thai Bangla Imperial Ltd.,THAI BANGLA IMPERIAL,BGMEA
Hamid Textile Mills Ltd.,HAMID TEXTILE MILLS,BGMEA
Europa Textile Mills Ltd.,EUROPA TEXTILE MILLS,BGMEA
Design Sportswear (BD) Ltd.,DESIGN SPORTSWEAR BD,BGMEA
Classic Supplies Ltd.,CLASSIC SUPPLIES,BGMEA
Fancy Fashion Sweaters Ltd.,FANCY FASHION SWEATERS,BGMEA
Baby's Fashions Ltd.,BABYS FASHIONS,BGMEA
R.B. Garments Ltd.,RB GARMENTS,BGMEA
Esteem Apparels Ltd.,ESTEEM APPARELS,BGMEA
Global Outerwear Ltd.,GLOBAL OUTERWEAR,BGMEA
Designer Line (Pvt) Ltd.,DESIGNER LINE PVT,BGMEA
Ritz Fashions Ltd.,RITZ FASHIONS,BGMEA
