V2,norm,typ
"Azim & Son (Pvt) Ltd Unit 135‚ÄêB/1, INDIRA ROAD, DHAKA","AZIM & SON PVT LTD UNIT 135‚ÄÊB/1, INDIRA ROAD, DHAKA",accord
"Azim & Son (Pvt) Ltd Unit 2Gacha Road, Fakir Market, Gazipur","AZIM & SON PVT LTD UNIT 2GACHA ROAD, FAKIR MARKET, GAZIPUR",accord
Azim Mannan Garments Ltd.,AZIM MANNAN GARMENTS,accord
B2B Excellence Ltd,B2B EXCELLENCE,accord
FASHION,FASHION,accord
Babylon Dressess Ltd.,BABYLON DRESSES,accord
BABYLON GARMENTS AND DRESSES LTD,BABYLON GARMENTS AND DRESSES,accord
Badgetex Apparels Ltd,BADGETEX APPARELS,accord
Badhan Knit Fashion Ltd,BADHAN KNIT FASHION,accord
BAIZED DRESSES (PVT) LIMITED,BAIZED DRESSES PVT,accord
Baleno Readymade Garments Pvt. Ltd.,BALENO READYMADE GARMENTS PVT,accord
BANDO DESIGN LTD.,BANDO DESIGN,accord
Bando Fashion,BANDO FASHION,accord
BandoFashins Ltd.,BANDOFASHINS,accord
Banex Apparels Limited,BANEX APPARELS,accord
BANGA GARMENTS LIMITED,BANGA GARMENTS,accord
Bangla Poshak Limited,BANGLA POSHAK,accord
Bangladesh Spinners & Knitters (PVT) Ltd,BANGLADESH SPINNERS & KNITTERS PVT,accord
Ltd.,,accord
Base Fashion Ltd,BASE FASHION,accord
Base Textiles Ltd,BASE TEXTILES,accord
Basic Apparels Ltd.,BASIC APPARELS,accord
BASIC IMPEX group Motaleb,BASIC IMPEX GROUP MOTALEB,accord
Basic Shirts Ltd.,BASIC SHIRTS,accord
"Baxter Brenton (BD) Clothing Mfg. Co. Ltd. FS SFB: 07(1st Floor) DEPZ, Savar","BAXTER BRENTON BD CLOTHING MFG CO LTD FS SFB 071ST FLOOR DEPZ, SAVAR",accord
Bay Creation Ltd,BAY CREATION,accord
Bay footwear Ltd.,BAY FOOTWEAR,accord
BD. Knit Design Ltd.,BD KNIT DESIGN,accord
BEA‚ÄêCON KNIT WEAR LTD.,BEA‚ÄÊCON KNIT WEAR,accord
BEATS FASHION,BEATS FASHION,accord
BEAT'S FASHION LTD,BEATS FASHION,accord
Beget Knitwear,BEGET KNITWEAR,accord
BEKA Garments & Textiles Ltd,BEKA GARMENTS & TEXTILES,accord
Belamy Textiles Ltd.,BELAMY TEXTILES,accord
Bellissima Apparels Limited,BELLISSIMA APPARELS,accord
Bengal Jeans Ltd,BENGAL JEANS,accord
Bengal Shoes Industries,BENGAL SHOES INDUSTRIES,accord
Benhid Apparels Ltd,BENHID APPARELS,accord
Beo Apparel Manufacturing Ltd.,BEO APPAREL MANUFACTURING,accord
Beq Knit Ltd,BEQ KNIT,accord
BEST SHIRTS LTD,BEST SHIRTS,accord
Best Wool Sweaters Ltd,BEST WOOL SWEATERS,accord
Beximco Apparels Ltd,BEXIMCO APPARELS,accord
Beximco Fashions Ltd.,BEXIMCO FASHIONS,accord
"BGD Test IMPORT factory 3777 Different drive, 2345, 34567,","BGD TEST IMPORT FACTORY 3777 DIFFERENT DRIVE, 2345, 34567,",accord
BHIS Apparels Ltd,BHIS APPARELS,accord
Bhml Sweaters Ltd.,BHML SWEATERS,accord
Bhuyan Warmtex (Pvt.) Ltd.,BHUYAN WARMTEX PVT,accord
BIANCA Fashion,BIANCA FASHION,accord
BIG BOSS CORPORATION LTD.,BIG BOSS CORPORATION,accord
BILLAH RESOURCES LTD,BILLAH RESOURCES,accord
Birds A & Z LTD.,BIRDS A & Z,accord
Birds Garments Ltd.,BIRDS GARMENTS,accord
BISWAS GROUP,BISWAS GROUP,accord
BKC Sweater Ltd,BKC SWEATER,accord
Blithe Fashion Ltd.,BLITHE FASHION,accord
BLOOMINGTEX LTD.,BLOOMINGTEX,accord
Body Fashion,BODY FASHION,accord
Bodystretch Bangladesh Ltd,BODYSTRETCH BANGLADESH,accord
Bonded Fashion Ltd.,BONDED FASHION,accord
"Bonny Apparels (Pvt) Ltd. Unit ‚Äê 21, Chowdhury Para, D.I.T. Road, Dhaka","BONNY APPARELS PVT LTD UNIT ‚ÄÊ 21, CHOWDHURY PARA, DIT ROAD, DHAKA",accord
Borax Apparels Ltd.,BORAX APPARELS,accord
Bottom Gallery Pvt. Ltd.,BOTTOM GALLERY PVT,accord
BRANDIX CASUALWEAR BANGLADESH,BRANDIX CASUALWEAR BANGLADESH,accord
BRITEX SPORTSWEAR LIMITED,BRITEX SPORTSWEAR,accord
BROTHERS FASHION LTD,BROTHERS FASHION,accord
C & A Fashion Ltd,C & A FASHION,accord
CA Knitwear Ltd.,CA KNITWEAR,accord
Cadtex Garments Ltd,CAD TEX GARMENTS,accord
CAESAR APPARELS LIMITED.,CAESAR APPARELS,accord
Calico Sweater ltd,CALICO SWEATER,accord
Camio USA Knitwear Ltd.,CAMIO USA KNITWEAR,accord
Capella,CAPELLA,accord
Capital Poshak Ltd.,CAPITAL POSHAK,accord
Capri Apparels Ltd,CAPRI APPARELS,accord
Carlos Leather Fashion Ltd.,CARLOS LEATHER FASHION,accord
Cassiopea Apparels Ltd,CASSIOPEA APPARELS,accord
Cassiopea Clothing Ltd,CASSIOPEA CLOTHING,accord
Cassiopea Fashion Ltd,CASSIOPEA FASHION,accord
Fashion Ltd Unit 4),FASHION LTD UNIT 4,accord
CDF Design BD,CDF DESIGN BD,accord
Centex Textile & Apparels Ltd.,CENTEX TEXTILE & APPARELS,accord
Chaity Composite Ltd.,CHAITY COMPOSITE,accord
Chancellor Garments Ltd.,CHANCELLOR GARMENTS,accord
Chantik Apparels Ltd.,CHANTIK APPARELS,accord
Chantik Garments Ltd.,CHANTIK GARMENTS,accord
Cherry (Pvt) Ltd.,CHERRY PVT,accord
CHERRY Brassiere,CHERRY BRASSIERE,accord
CHERRY INTIMATE LTD.,CHERRY INTIMATE,accord
Cherry Knit Wear Ltd.,CHERRY KNIT WEAR,accord
CHITTAGONG ASIAN APPARELS LTD,CHITTAGONG ASIAN APPARELS,accord
Chittagong Fashion,CHITTAGONG FASHION,accord
CHITTAGONG FASHION WEAR LIMITED,CHITTAGONG FASHION WEAR,accord
CHITTAGONG KNITWEAR PVT LTD,CHITTAGONG KNITWEAR PVT,accord
CHOICE GARMENTS LIMITED,CHOICE GARMENTS,accord
Chong Won ARS sweater ltd,CHONG WON ARS SWEATER,accord
Chowdhuy Fashion Wear Ltd.,CHOWDHUY FASHION WEAR,accord
