factory_name,oc id,oc name
Oriental Knitwears Ltd.,/companies/bd/C-20377,Oriental Knitwears Ltd.
Bengal Knittex Ltd.,,
Starlight Knitwears Ltd.,,
Bangladesh Knitwear Ltd.,,
Antler Apparels Ltd.,/companies/bd/C-20551,Antler Apparels Ltd.
Smart Dress Ltd.,/companies/bd/C-12390,Smart Dress Ltd.
Rahman Apparels,,
Dada (Dhaka) Ltd.,/companies/bd/C-20624,Dada (Dhaka) Ltd.
Bright Apparels Ltd.,,
Regal Garments Ltd.,,
Jamuna Fashion Wears Ltd.,,
May Fashion Ltd.,/companies/bd/C-20699,May Fashion Ltd.
The Shanin Corporation Ltd.,,
Epoch Garments Ltd.,/companies/bd/C-20488,Epoch Garments Ltd.
Gitano Apparels Limited,/companies/bd/C-21020,Gitano Apparels Limited
Rhine Garments (Pvt.) Ltd.,/companies/bd/C-20500,Rhine Garments (Pvt.) Ltd.
Export Knitwear Ltd.,,
Epcot International Ltd.,/companies/bd/C-23405,Epcot International Ltd.
Vega Garments Limited.,/companies/bd/C-20033,Vega Garments Limited.
Pubali Fashion and Knitwears Ltd.,,
Golden Ducks Apparels Ltd.,,
Applique Fashionwear Ltd.,,
Alliance Garments Ltd.,,
Hamid Apparels Ltd.,,
Jamuna Knit Fashion Ltd.,,
Diana Garments (Pvt.) Ltd.,/companies/bd/C-20926,Diana Garments (Pvt.) Ltd.
Sakura Garments Ltd.,,
Radiant Apparel,,
Florescent Apparels Ltd.,,
J. K. Fashions Ltd.,/companies/bd/C-21294,J. K. Fashions Ltd.
Roxana & Company (Pvt.) Ltd.,,
Balaka Knitwear & Garments(Pvt) Ltd,,
Lovely Apparels Limited,,
Sunsuie Apparels (Pvt.) Ltd.,,
Miti Apparels Limited,/companies/bd/C-21144,Miti Apparels Limited
Unimpex Apparels Ltd.,,
Prostar Apparels Ltd.,,
Karim Textiles Ltd.,/companies/bd/C-11556,Karim Textiles Ltd.
Niponika Garments Ltd.,,
Fashion Enterprise,,
Kanak Impex,,
Bay Pacific Enterprise Ltd.,,
Medona Fashions Ltd.,,
Hollywood Garments (Pvt.) Ltd.,,
Wayne Apparels Ltd.,,
Rowshan Enterprises Ltd.,,
Doreen Fashion Limited,,
orbitex knitwear ltd.,/companies/bd/C-21406,orbitex knitwear ltd.
Shadli International Ltd.,,
Rupa Sweater (Pvt.) Ltd.,/companies/bd/C-22797,Rupa Sweater (Pvt.) Ltd.
Noami Apparels Limited,,
Lancia Knitwears Ltd.,,
Export Connection Ltd.,,
Alps Apparels Ltd.,,
Friends Fashion,,
Anika Garments (Pvt.) Ltd.,,
Bellissima Apparels Ltd.,,
Khan Apparels Ltd.,/companies/bd/C-20847,Khan Apparels Ltd.
Jkk Apparels Ltd.,/companies/bd/C-12116,Jkk Apparels Ltd.
Interconnection Sports Wear,,
Faa Apparels Ltd.,,
Clamoon Garments Ltd.,,
Panorama Apparels Ltd.,,
Anupam Hosiery Inds (Pvt) Ltd.(Gar.Div.),,
Dulal Brothers Ltd.,,
Young Apparels Limited.,/companies/bd/C-21337,Young Apparels Limited.
Austin Apparel (Pvt.) Limited,/companies/bd/C-21301,Austin Apparel (Pvt.) Limited
Enayet Garments Ltd.,,
Lufa Garments Limited,/companies/bd/C-21397,Lufa Garments Limited
Shahnawaz & Brothers Ltd. (Garment Div),,
G.M. Establishment (Pvt.) Ltd.,/companies/bd/C-20691,G.M. Establishment (Pvt.) Ltd.
D.Z. Garments Limited,/companies/bd/C-20994,D.Z. Garments Limited
Hypoid Fashions Limited.,/companies/bd/C-21153,Hypoid Fashions Limited.
M.R.H. Garments Ltd.,/companies/bd/C-25977,M.R.H. Garments Ltd.
Milestone Garments Ltd.,,
Mita Fashions Ltd.,/companies/bd/C-21152,Mita Fashions Ltd.
Goldstar Garments Ltd.,,
Styline Knitting Inds. (Pvt.) Ltd.,,
Bakul Apparels Limited.,/companies/bd/C-21044,Bakul Apparels Limited.
Jamuna Apparels Ltd.,,
Jaycee's Apparels Ltd.,,
New Wave Apparel Ltd.,,
Skyline Garments Ltd.,,
Wills Fashions Limited,/companies/bd/C-21071,Wills Fashions Limited
Noba Textiles Limited.,/companies/bd/C-20970,Noba Textiles Limited.
Dreamwears Limited,,
Cherry (Pvt) Ltd.,,
Southern Services Ltd.,,
Excel Industries Ltd.,,
Debonair Ltd.,,
Taj Apparels Limited.,/companies/bd/C-21135,Taj Apparels Limited.
Vase Apparels Limited,/companies/bd/C-21517,Vase Apparels Limited
Expotex Fashion Ltd.,,
Parents Garments Ltd.,,
Samrana Enterprise Ltd.,,
Anam Garments Ltd.,,
Anannya Fashions Ltd.,,
Brightways International Co. Ltd.,,
Nice Knitting Apparels Ltd.,,
New World Apparels Limited,/companies/bd/C-21657,New World Apparels Limited
Coast To Coast (Pvt) Ltd.,/companies/bd/C-21322,Coast To Coast (Pvt) Ltd.
Lucky Star Apparels Ltd.,/companies/bd/C-21809,Lucky Star Apparels Ltd.
Supreme Apparels Ltd.,,
Albion Apparels Limited,/companies/bd/C-21256,Albion Apparels Limited
Benson Apparels Ltd.,,
Rr Fashions Limited,/companies/bd/C-21727,Rr Fashions Limited
Europe Apparels Limited,,
Rahil Knitters Ltd.,/companies/bd/C-20385,Rahil Knitters Ltd.
A.B.M. Fashions Ltd.,/companies/bd/C-20795,A.B.M. Fashions Ltd.
Quality Apparels,,
City Designer International Ltd.,,
NEW FASHIONS LIMITED,/companies/bd/C-20703,NEW FASHIONS LIMITED
Forward Garments Ltd.,,
Texport Limited,,
Step Two Apparels Ltd.,,
Shasha Garments Limited.,/companies/bd/C-21405,Shasha Garments Limited.
Prince Knitwear Ltd.,,
Al-Islam Apparels Ltd.,,
Alpha Knitting Wear Ltd.,,
The Mohammadi Ltd.,,
My Choice Enterprise Limited,/companies/bd/C-26499,My Choice Enterprise Limited
Creative Fashion Garments,,
S. B. Fashion Garments Ltd.,/companies/bd/C-21297,S. B. Fashion Garments Ltd.
Alps Wear Ltd.,,
Seaways Garments Ltd.,,
Bari Apparels Limited.,/companies/bd/C-21717,Bari Apparels Limited.
Amazan Garments Ltd.,,
Dekko Apparels Ltd.,,
S.F. Apparels Limited.,/companies/bd/C-21368,S.F. Apparels Limited.
Zenith Fashions Limited,/companies/bd/C-20895,Zenith Fashions Limited
United Apparels Industry Ltd.,,
Renuka Knit Fashions,,
Eastern Garments Ltd.,,
Gold Star Fashions Ltd.,/companies/bd/C-22045,Gold Star Fashions Ltd.
Aaa Fashions (Pvt.) Limited,/companies/bd/C-21728,Aaa Fashions (Pvt.) Limited
Mika Apparels Ltd.,/companies/bd/C-21587,Mika Apparels Ltd.
Milan Clothings Ltd.,,
Nouvelle Garments Ltd.,,
Deluxe Apparels Ltd.,,
All Weather Fashions Ltd.,/companies/bd/C-23707,All Weather Fashions Ltd.
Blue-Bell Knitting & Processing Inds.Ltd,,
Simco Fashions Ltd.,,
Mahin Apparels Ltd.,/companies/bd/C-23385,Mahin Apparels Ltd.
Hossains Ltd. (Unit-3),,
Harvest Rich Ltd.,,
Glossy Apparel (Pvt) Ltd.,,
Apparel Fair (Pvt.) Limited,/companies/bd/C-21882,Apparel Fair (Pvt.) Limited
Omega Knitting And Fashion Wear Ltd.,/companies/bd/C-21253,Omega Knitting And Fashion Wear Ltd.
Amity Apparels Ltd.,/companies/bd/C-21181,Amity Apparels Ltd.
Ashraf Fashions Ltd.,,
Mantrust Fashion Ltd.,,
Western Dresses Ltd.,,
Ananta Apparels Ltd.,,
Miahco Ltd.,,
Globus Garment Ltd.,,
Vertex Fashion Limited,/companies/bd/C-22322,Vertex Fashion Limited
Vertex Wear Limited,/companies/bd/C-22323,Vertex Wear Limited
Pragati Fashionwear Ltd.,,
Ying Ming International Ltd.,/companies/bd/C-22096,Ying Ming International Ltd.
Abc Attire Limited,/companies/bd/C-22188,Abc Attire Limited
Birds Apparels Ltd.,,
Cannon Garments Ltd.,,
Oorvasi Apparels Limited.,/companies/bd/C-21573,Oorvasi Apparels Limited.
Sonargaon Garments (Pvt.) Ltd. (U-2),,
Samaron Fashion (Pvt.) Ltd.,,
Islam Garments Ltd. (Hosiery Div.),,
Apparel and Apparel Co. Ltd.,,
Sea Bird Apparels Ltd.,,
The New Delta Apparels Ltd.,/companies/bd/C-20727,The New Delta Apparels Ltd.
